scientist,researcher
happy,joyful
car,automobile
big,large
run,sprint
house,home
dog,puppy
fast,quick
beautiful,pretty
smart,intelligent
small,tiny
angry,mad
cold,freezing
hot,warm
sad,unhappy
good,great
bad,terrible
walk,stroll
talk,speak
see,look
think,consider
know,understand
want,desire
need,require
get,obtain
make,create
find,discover
take,grab
give,provide
come,arrive
go,leave
say,tell
see,watch
look,view
hear,listen
feel,sense
try,attempt
use,utilize
work,job
help,assist
show,display
tell,inform
ask,question
answer,reply
start,begin
stop,end
continue,proceed
change,modify
move,shift
turn,rotate
keep,maintain
let,allow
put,place
set,establish
run,operate
play,perform
turn,convert
come,approach
think,believe
know,recognize
want,wish
need,demand
get,receive
make,build
find,locate
take,accept
give,offer
come,reach
go,depart
say,express
see,observe
look,examine
hear,perceive
feel,experience
try,test
use,apply
work,function
help,support
show,reveal
tell,communicate
ask,request
answer,respond
start,initiate
stop,halt
continue,persist
change,transform
move,transfer
turn,change
keep,preserve
let,permit
put,position
set,configure
run,execute
play,engage
turn,alter

